step,passes,learning_rate,training_loss,gradient_length,share_clipped,seen_bpc,validation_bpc,validation_loss,tokens_per_second,minutes
0,0.0,nan,nan,nan,nan,6.6585,6.6578,4.6148,nan,0.06
250,0.85,0.000999495547480752,2.5226,0.8141,0.096,2.9359,2.9307,2.0314,151854,0.6
499,1.7,0.000996404858951786,1.8905,0.5165,0.0,2.3781,2.4204,1.6777,150603,1.15
749,2.55,0.0009904908123745863,1.6389,0.4472,0.0,2.1207,2.2343,1.5487,151515,1.7
998,3.4,0.0009818377126940404,1.5017,0.3971,0.0,1.9798,2.1345,1.4795,150502,2.25
1248,4.25,0.000970430690923128,1.4213,0.3611,0.0,1.8944,2.0527,1.4228,154210,2.79
1498,5.1,0.0009563709434533556,1.3749,0.3347,0.0,1.837,2.0227,1.4021,153664,3.33
1747,5.95,0.0009398186496835648,1.3406,0.3177,0.0,1.7988,1.9935,1.3818,151289,3.88
1997,6.8,0.0009207453671075667,1.3119,0.303,0.0,1.7552,1.958,1.3572,152740,4.42
2247,7.65,0.0008993328505405867,1.2884,0.2939,0.0,1.7283,1.9334,1.3402,154182,4.96
2496,8.5,0.0008758148673582538,1.2691,0.2852,0.0,1.7088,1.9192,1.3303,154002,5.49
2746,9.35,0.0008501510056157637,1.2519,0.2808,0.0,1.6809,1.897,1.3149,152495,6.04
2996,10.2,0.0008225933280712271,1.2396,0.2744,0.0,1.6584,1.8819,1.3045,154631,6.58
3245,11.05,0.0007934360062282577,1.2246,0.2693,0.0,1.641,1.882,1.3045,154247,7.12
3495,11.9,0.0007626289378280084,1.2131,0.2606,0.0,1.6186,1.8495,1.282,154273,7.65
3744,12.75,0.0007306112787292833,1.2011,0.2612,0.0,1.6108,1.8591,1.2886,152499,8.21
3994,13.6,0.0006973280116347983,1.1879,0.2585,0.0,1.5936,1.8394,1.275,149904,8.75
4244,14.45,0.0006631151720541386,1.1821,0.2594,0.0,1.5754,1.8197,1.2613,154036,9.29
4493,15.3,0.0006283294644189698,1.1742,0.2532,0.0,1.5604,1.8037,1.2502,154075,9.83
4743,16.15,0.0005929111149771788,1.1611,0.2522,0.0,1.5475,1.8157,1.2586,155287,10.37
4992,17.0,0.0005573650135632823,1.153,0.2555,0.0,1.5334,1.8099,1.2545,154599,10.9
5242,17.85,0.0005216300798083888,1.1463,0.2525,0.0,1.5215,1.8067,1.2523,152370,11.44
5492,18.7,0.0004860741472967243,1.1371,0.2538,0.0,1.5105,1.7921,1.2422,154797,11.98
5741,19.55,0.00045106106954339323,1.1306,0.2561,0.0,1.499,1.795,1.2442,153063,12.53
5991,20.4,0.0004165306820965957,1.1251,0.2548,0.0,1.4871,1.7866,1.2384,153930,13.06
6241,21.25,0.0003828424251061505,1.1175,0.2555,0.0,1.476,1.7831,1.2359,152934,13.6
6490,22.1,0.0003503370140618392,1.1092,0.2565,0.0,1.4646,1.7825,1.2355,153708,14.14
6740,22.95,0.00031895859354158805,1.1056,0.2601,0.0,1.4536,1.7745,1.23,155010,14.68
6990,23.8,0.0002890379388068634,1.0986,0.2581,0.0,1.4425,1.7652,1.2235,155020,15.22
7239,24.65,0.00026087341188844664,1.0916,0.2596,0.0,1.4323,1.7669,1.2247,153797,15.75
7489,25.5,0.00023441661648898333,1.0876,0.2608,0.0,1.4253,1.7657,1.2239,152540,16.29
7738,26.35,0.00021004469517049533,1.0824,0.2644,0.0,1.4145,1.7679,1.2254,152624,16.83
7988,27.2,0.00018771576863017576,1.0778,0.2648,0.0,1.4094,1.7694,1.2264,152439,17.38
8238,28.05,0.00016767269017753102,1.0743,0.2655,0.0,1.4032,1.7592,1.2194,153982,17.91
8487,28.9,0.00015010748759020814,1.0685,0.2674,0.0,1.3964,1.7704,1.2272,154682,18.45
8737,29.75,0.0001349899778379728,1.0656,0.2712,0.0,1.3915,1.7755,1.2307,154123,18.99
8986,30.6,0.00012253566156152136,1.062,0.2697,0.0,1.3836,1.7705,1.2272,153421,19.53
9236,31.45,0.00011272313798264754,1.0596,0.2713,0.0,1.3791,1.7746,1.2301,152912,20.06
9486,32.3,0.00010566963175058841,1.0575,0.2726,0.0,1.3744,1.7699,1.2268,153772,20.6
9735,33.15,0.0001014310211264214,1.0579,0.2751,0.0,1.3717,1.7724,1.2285,154413,21.13
9985,34.0,0.00010000002272630928,1.0507,0.2767,0.0,1.3668,1.7685,1.2258,154169,21.67
