step,passes,learning_rate,training_loss,gradient_length,share_clipped,seen_bpc,validation_bpc,validation_loss,tokens_per_second,minutes
0,0.0,nan,nan,nan,nan,6.6585,6.6578,4.6148,nan,0.06
250,0.85,0.000999495547480752,2.5203,0.8171,0.1,2.9333,2.9282,2.0297,86053,0.94
499,1.7,0.000996404858951786,1.8882,0.5181,0.0,2.3831,2.4317,1.6856,86295,1.83
749,2.55,0.0009904908123745863,1.6387,0.4462,0.0,2.123,2.2393,1.5521,84195,2.73
998,3.4,0.0009818377126940404,1.5028,0.3987,0.0,1.9788,2.1196,1.4692,85193,3.61
1248,4.25,0.000970430690923128,1.4226,0.3644,0.0,1.8967,2.0548,1.4243,85943,4.5
1498,5.1,0.0009563709434533556,1.3748,0.3367,0.0,1.84,2.0,1.3863,85768,5.4
1747,5.95,0.0009398186496835648,1.3381,0.3181,0.0,1.7944,1.9627,1.3604,85658,6.29
1997,6.8,0.0009207453671075667,1.3078,0.3012,0.0,1.7516,1.9452,1.3483,85685,7.19
2247,7.65,0.0008993328505405867,1.2835,0.2894,0.0,1.7233,1.9103,1.3241,85079,8.09
2496,8.5,0.0008758148673582538,1.2637,0.2838,0.0,1.6927,1.8902,1.3102,85267,8.98
2746,9.35,0.0008501510056157637,1.2463,0.2795,0.0,1.668,1.8635,1.2917,84940,9.88
2996,10.2,0.0008225933280712271,1.2337,0.2705,0.0,1.6507,1.8495,1.282,85962,10.76
3245,11.05,0.0007934360062282577,1.2198,0.2679,0.0,1.6294,1.8516,1.2834,86265,11.64
3495,11.9,0.0007626289378280084,1.2081,0.2621,0.0,1.6119,1.8325,1.2702,85458,12.54
3744,12.75,0.0007306112787292833,1.1961,0.2589,0.0,1.6022,1.8305,1.2688,85211,13.43
3994,13.6,0.0006973280116347983,1.1836,0.2598,0.0,1.5839,1.815,1.258,85251,14.32
4244,14.45,0.0006631151720541386,1.1774,0.2568,0.0,1.5649,1.8001,1.2478,86052,15.2
4493,15.3,0.0006283294644189698,1.1701,0.2529,0.0,1.5526,1.8041,1.2505,86051,16.09
4743,16.15,0.0005929111149771788,1.1575,0.2532,0.0,1.5431,1.7925,1.2425,84593,17.0
4992,17.0,0.0005573650135632823,1.1497,0.2539,0.0,1.5273,1.7823,1.2354,85342,17.9
5242,17.85,0.0005216300798083888,1.1426,0.2524,0.0,1.5162,1.7948,1.244,85655,18.79
5492,18.7,0.0004860741472967243,1.1339,0.2531,0.0,1.5049,1.7764,1.2313,84561,19.69
5741,19.55,0.00045106106954339323,1.1275,0.2536,0.0,1.4931,1.7821,1.2352,85457,20.58
5991,20.4,0.0004165306820965957,1.1221,0.2539,0.0,1.4808,1.7701,1.2269,85734,21.47
6241,21.25,0.0003828424251061505,1.1145,0.255,0.0,1.4699,1.7749,1.2303,84803,22.36
6490,22.1,0.0003503370140618392,1.1062,0.2581,0.0,1.4605,1.77,1.2269,84731,23.26
6740,22.95,0.00031895859354158805,1.1027,0.2577,0.0,1.4487,1.7661,1.2241,85687,24.16
6990,23.8,0.0002890379388068634,1.0955,0.258,0.0,1.4353,1.7637,1.2225,85947,25.05
7239,24.65,0.00026087341188844664,1.0892,0.2607,0.0,1.4283,1.7555,1.2168,85870,25.94
7489,25.5,0.00023441661648898333,1.0851,0.262,0.0,1.4217,1.7632,1.2222,85487,26.84
7738,26.35,0.00021004469517049533,1.0799,0.2628,0.0,1.412,1.7643,1.2229,85330,27.72
7988,27.2,0.00018771576863017576,1.0753,0.2646,0.0,1.4044,1.7607,1.2204,85897,28.61
8238,28.05,0.00016767269017753102,1.0715,0.2653,0.0,1.398,1.7565,1.2175,85268,29.51
8487,28.9,0.00015010748759020814,1.066,0.267,0.0,1.3926,1.7569,1.2178,85293,30.4
8737,29.75,0.0001349899778379728,1.0634,0.2696,0.0,1.3868,1.7583,1.2187,85167,31.3
8986,30.6,0.00012253566156152136,1.0601,0.2691,0.0,1.3794,1.7517,1.2142,85258,32.19
9236,31.45,0.00011272313798264754,1.0569,0.2712,0.0,1.3739,1.7582,1.2187,82600,33.11
9486,32.3,0.00010566963175058841,1.0552,0.2744,0.0,1.3696,1.7557,1.217,85774,34.0
9735,33.15,0.0001014310211264214,1.0554,0.2739,0.0,1.3664,1.7525,1.2148,84146,34.91
9985,34.0,0.00010000002272630928,1.0487,0.2763,0.0,1.3622,1.7614,1.2209,84633,35.81
