step,passes,learning_rate,training_loss,gradient_length,share_clipped,seen_bpc,validation_bpc,validation_loss,tokens_per_second,minutes
0,0.0,nan,nan,nan,nan,6.6585,6.6578,4.6148,nan,0.05
250,0.85,0.000999495547480752,2.5203,0.8171,0.096,2.9333,2.9282,2.0297,90576,0.9
499,1.7,0.000996404858951786,1.8882,0.5182,0.0,2.3832,2.4318,1.6856,84177,1.81
749,2.55,0.0009904908123745863,1.6387,0.446,0.0,2.1229,2.2393,1.5522,80487,2.79
998,3.4,0.0009818377126940404,1.5028,0.3986,0.0,1.979,2.1183,1.4683,77493,3.77
1248,4.25,0.000970430690923128,1.4226,0.3645,0.0,1.8968,2.057,1.4258,74830,4.79
1498,5.1,0.0009563709434533556,1.3746,0.3357,0.0,1.8383,2.0078,1.3917,76033,5.8
1747,5.95,0.0009398186496835648,1.3379,0.3156,0.0,1.7917,1.9632,1.3608,78508,6.76
1997,6.8,0.0009207453671075667,1.3078,0.3002,0.0,1.7527,1.9482,1.3504,81476,7.71
2247,7.65,0.0008993328505405867,1.2837,0.2909,0.0,1.7277,1.9087,1.323,81569,8.64
2496,8.5,0.0008758148673582538,1.2636,0.2835,0.0,1.6943,1.8836,1.3056,82322,9.57
2746,9.35,0.0008501510056157637,1.2461,0.2796,0.0,1.667,1.8593,1.2887,81961,10.51
2996,10.2,0.0008225933280712271,1.2335,0.271,0.0,1.6529,1.847,1.2803,82153,11.44
3245,11.05,0.0007934360062282577,1.2196,0.268,0.0,1.6263,1.833,1.2705,80996,12.39
3495,11.9,0.0007626289378280084,1.2081,0.2614,0.0,1.614,1.8345,1.2715,76931,13.4
3744,12.75,0.0007306112787292833,1.1959,0.2588,0.0,1.5977,1.8229,1.2636,77036,14.39
3994,13.6,0.0006973280116347983,1.1838,0.2579,0.0,1.5853,1.8124,1.2562,78812,15.38
4244,14.45,0.0006631151720541386,1.1778,0.2567,0.0,1.5672,1.794,1.2435,80922,16.33
4493,15.3,0.0006283294644189698,1.1699,0.2525,0.0,1.551,1.7889,1.24,81258,17.27
4743,16.15,0.0005929111149771788,1.1575,0.2534,0.0,1.5436,1.7846,1.237,78493,18.25
4992,17.0,0.0005573650135632823,1.1502,0.2533,0.0,1.5267,1.7864,1.2382,79617,19.22
5242,17.85,0.0005216300798083888,1.1428,0.254,0.0,1.516,1.7859,1.2379,81515,20.16
5492,18.7,0.0004860741472967243,1.1343,0.2531,0.0,1.5056,1.7787,1.2329,82527,21.09
5741,19.55,0.00045106106954339323,1.1277,0.2535,0.0,1.4947,1.7772,1.2319,82906,22.01
5991,20.4,0.0004165306820965957,1.1224,0.2541,0.0,1.4806,1.7618,1.2212,81672,22.95
6241,21.25,0.0003828424251061505,1.1149,0.2546,0.0,1.4708,1.764,1.2227,81381,23.9
6490,22.1,0.0003503370140618392,1.1065,0.2571,0.0,1.4595,1.757,1.2179,81083,24.84
6740,22.95,0.00031895859354158805,1.1029,0.257,0.0,1.4474,1.76,1.2199,83015,25.76
6990,23.8,0.0002890379388068634,1.0958,0.2573,0.0,1.4364,1.7589,1.2191,83728,26.67
7239,24.65,0.00026087341188844664,1.0895,0.2605,0.0,1.4276,1.749,1.2123,83491,27.59
7489,25.5,0.00023441661648898333,1.0854,0.2607,0.0,1.4202,1.7567,1.2176,82537,28.52
7738,26.35,0.00021004469517049533,1.0803,0.2629,0.0,1.41,1.7551,1.2165,83548,29.44
7988,27.2,0.00018771576863017576,1.0752,0.2634,0.0,1.4041,1.755,1.2164,81218,30.38
8238,28.05,0.00016767269017753102,1.072,0.2655,0.0,1.3997,1.7512,1.2139,78404,31.35
8487,28.9,0.00015010748759020814,1.0662,0.2674,0.0,1.3928,1.75,1.213,84303,32.26
8737,29.75,0.0001349899778379728,1.0636,0.2697,0.0,1.3869,1.7552,1.2166,83445,33.17
8986,30.6,0.00012253566156152136,1.0606,0.2685,0.0,1.3795,1.7522,1.2145,83382,34.09
9236,31.45,0.00011272313798264754,1.0572,0.2705,0.0,1.374,1.7551,1.2165,83896,35.0
9486,32.3,0.00010566963175058841,1.0554,0.2745,0.0,1.3704,1.7498,1.2129,84451,35.91
9735,33.15,0.0001014310211264214,1.0557,0.2739,0.0,1.3674,1.752,1.2144,84108,36.81
9985,34.0,0.00010000002272630928,1.0488,0.2758,0.0,1.3625,1.7551,1.2165,83833,37.72
