step,passes,learning_rate,training_loss,gradient_length,share_clipped,seen_bpc,validation_bpc,validation_loss,tokens_per_second,minutes
0,0.0,nan,nan,nan,nan,3.7731,3.9545,8.4088,nan,0.02
125,1.36,0.0009999467273847289,5.9419,0.8754,0.24,2.2616,2.3737,5.0473,77575,0.5
250,2.72,0.0009979482127135694,4.7977,0.4258,0.0,2.0429,2.2004,4.6788,79404,0.97
375,4.08,0.0009930741345820055,4.4109,0.4571,0.0,1.8822,2.0783,4.4191,78764,1.44
500,5.44,0.0009853557816983753,4.162,0.456,0.0,1.788,2.007,4.2676,78523,1.93
625,6.79,0.0009748427013382277,3.9881,0.4612,0.0,1.7173,1.9575,4.1623,77227,2.42
750,8.15,0.0009616023812800193,3.8651,0.4666,0.0,1.6569,1.9341,4.1127,76653,2.91
875,9.51,0.0009457198165733629,3.7618,0.4827,0.0,1.6096,1.9215,4.0857,76019,3.4
1000,10.87,0.0009272969639209125,3.6704,0.4885,0.0,1.5656,1.9018,4.044,75320,3.9
1125,12.23,0.0009064520871764352,3.5994,0.4903,0.0,1.53,1.8885,4.0156,76754,4.39
1250,13.59,0.0008833189981605882,3.5279,0.4992,0.0,1.4974,1.882,4.0018,76387,4.88
1375,14.95,0.0008580461976679099,3.463,0.5078,0.0,1.4649,1.8793,3.996,72661,5.39
1500,16.31,0.000830795922179262,3.4078,0.511,0.0,1.4299,1.8733,3.9834,75761,5.89
1625,17.66,0.0008017431023992598,3.3473,0.522,0.0,1.3952,1.8791,3.9957,76622,6.38
1750,19.02,0.00077107424030427,3.2965,0.5299,0.0,1.3712,1.8754,3.9877,76675,6.86
1875,20.38,0.0007389862119096658,3.2424,0.5354,0.0,1.3439,1.8801,3.9977,75527,7.35
2000,21.74,0.000705685003441866,3.2047,0.5446,0.0,1.3165,1.8863,4.0109,77547,7.83
2125,23.1,0.0006713843890281903,3.1544,0.5514,0.0,1.2916,1.8917,4.0225,77865,8.3
2250,24.46,0.000636304558392982,3.112,0.5687,0.0,1.2741,1.8885,4.0157,77741,8.78
2375,25.82,0.000600670703369379,3.0794,0.5712,0.0,1.2471,1.8955,4.0304,77245,9.26
2500,27.18,0.0005647115723004953,3.0343,0.579,0.0,1.2203,1.9007,4.0415,76211,9.74
2625,28.54,0.0005286580016099058,3.0048,0.5897,0.0,1.203,1.9039,4.0483,76280,10.23
2750,29.89,0.0004927414339678848,2.9633,0.6046,0.0,1.1715,1.9074,4.0559,76268,10.72
2875,31.25,0.000457192432565898,2.9301,0.6061,0.0,1.1559,1.9157,4.0736,76135,11.21
3000,32.61,0.00042223920103682985,2.8954,0.6205,0.0,1.1362,1.9217,4.0862,76996,11.69
3125,33.97,0.000388106118522187,2.8636,0.6297,0.0,1.1127,1.922,4.0869,77616,12.17
3250,35.33,0.0003550122992902805,2.8397,0.6391,0.0,1.0933,1.9299,4.1036,78519,12.64
3375,36.69,0.0003231701861517917,2.8133,0.6481,0.0,1.0775,1.9316,4.1072,77888,13.11
3500,38.05,0.0002927841867021623,2.774,0.6506,0.0,1.065,1.9377,4.1203,78290,13.58
3625,39.41,0.00026404936114532917,2.764,0.6574,0.0,1.0395,1.9427,4.131,78840,14.05
3750,40.76,0.00023715017012220402,2.7343,0.6622,0.0,1.028,1.9472,4.1404,78918,14.52
3875,42.12,0.00021225929058209752,2.7071,0.6736,0.0,1.014,1.9524,4.1514,78279,14.99
4000,43.48,0.00018953650729849794,2.6866,0.6784,0.0,1.002,1.9559,4.159,78178,15.46
4125,44.84,0.0001691276871450179,2.6723,0.681,0.0,0.9898,1.961,4.1697,78235,15.93
4250,46.2,0.00015116384271605498,2.6572,0.6848,0.0,0.9771,1.9629,4.1738,77096,16.41
4375,47.56,0.0001357602913031671,2.6497,0.6941,0.0,0.9658,1.9648,4.1779,77407,16.89
4500,48.92,0.00012301591462604022,2.6314,0.6961,0.0,0.96,1.9694,4.1878,77666,17.36
4625,50.28,0.00011301252407013856,2.6146,0.6976,0.0,0.953,1.975,4.1995,76646,17.84
4750,51.64,0.00010581433550583804,2.601,0.7089,0.0,0.9445,1.9771,4.204,78496,18.31
4875,52.99,0.00010146755706039344,2.59,0.7089,0.0,0.9396,1.9779,4.2058,78687,18.78
5000,54.35,0.00010000009248900101,2.5937,0.7165,0.0,0.9333,1.9792,4.2085,78169,19.25
