step,passes,learning_rate,training_loss,seen_bpc,validation_bpc,validation_loss,minutes
0,0.0,1e-05,nan,6.7031,6.7064,4.6485,0.07
250,0.85,0.0009979137995518145,2.5254,2.9502,2.9478,2.0433,0.97
500,1.7,0.0009852347790829058,1.8887,2.3723,2.4338,1.687,1.88
750,2.55,0.0009613614464972285,1.6371,2.1209,2.2333,1.548,2.82
1000,3.41,0.000926907827945897,1.5042,1.9785,2.1199,1.4694,3.77
1250,4.26,0.0008827600763242025,1.4245,1.9014,2.0611,1.4286,4.72
1500,5.11,0.000830053679269296,1.3713,1.8256,1.9927,1.3812,5.68
1750,5.96,0.0007701442542261489,1.3302,1.7927,1.9703,1.3657,6.64
2000,6.81,0.0007045726817376311,1.3002,1.7387,1.9151,1.3275,7.63
2250,7.66,0.0006350254737363836,1.2728,1.7073,1.8834,1.3055,8.65
2500,8.51,0.0005632913961727202,1.2522,1.6734,1.8677,1.2946,9.68
2750,9.36,0.0004912154616519027,1.2346,1.6467,1.8573,1.2874,10.7
3000,10.22,0.0004206514753979383,1.2154,1.63,1.8418,1.2767,11.73
3250,11.07,0.0003534143550697397,1.1992,1.6051,1.8108,1.2552,12.76
3500,11.92,0.00029123345077203066,1.1862,1.5864,1.8044,1.2507,13.79
3750,12.77,0.00023570806587821852,1.1777,1.5698,1.7997,1.2474,14.79
4000,13.62,0.00018826632267718567,1.1633,1.5546,1.795,1.2442,15.8
4250,14.47,0.00015012843082652192,1.1557,1.5433,1.7859,1.2379,16.81
4500,15.32,0.00012227530335379248,1.1493,1.5316,1.78,1.2338,17.82
4750,16.18,0.00010542332740759535,1.1429,1.5238,1.7746,1.23,18.82
4992,17.0,0.0001,1.139,1.5197,1.7706,1.2273,19.8
