step,passes,learning_rate,training_loss,gradient_length,share_clipped,seen_bpc,validation_bpc,validation_loss,tokens_per_second,minutes
0,0.0,nan,nan,nan,nan,3.8645,3.9873,7.6967,nan,0.02
62,0.6,0.00062,6.2284,1.0905,0.3226,2.7115,2.758,5.3237,87551,0.25
125,1.21,0.0009997779521645793,5.0402,0.4684,0.0,2.3991,2.4682,4.7644,87092,0.48
188,1.82,0.000997085065094661,4.6115,0.4675,0.0,2.2235,2.333,4.5035,87015,0.71
250,2.42,0.000991467915710602,4.3517,0.4545,0.0,2.1187,2.2353,4.3147,86872,0.94
312,3.02,0.000982944593770023,4.1951,0.466,0.0,2.0422,2.1735,4.1955,87240,1.17
375,3.62,0.0009713647985659705,4.0729,0.4456,0.0,1.9855,2.1403,4.1315,87048,1.41
438,4.23,0.0009569210201369171,3.9555,0.4519,0.0,1.9237,2.0979,4.0496,86117,1.64
500,4.83,0.0009400056220502038,3.8703,0.4572,0.0,1.879,2.0677,3.9914,87136,1.87
562,5.43,0.0009205228264350286,3.7771,0.4676,0.0,1.8341,2.0345,3.9272,86632,2.1
625,6.04,0.0008982280943769279,3.7107,0.476,0.0,1.7862,2.0142,3.888,86445,2.34
688,6.65,0.0008735664834904018,3.6316,0.4798,0.0,1.7538,1.9837,3.8292,85789,2.57
750,7.25,0.0008471482326730356,3.59,0.4806,0.0,1.7223,1.9668,3.7966,86140,2.81
812,7.85,0.0008187738622640052,3.5279,0.4924,0.0,1.6976,1.9451,3.7546,86705,3.04
875,8.46,0.0007881305504383858,3.4797,0.4931,0.0,1.6729,1.929,3.7236,86586,3.27
938,9.07,0.0007558686840867672,3.4252,0.4934,0.0,1.6469,1.9148,3.6962,86054,3.51
1000,9.67,0.0007227516068384351,3.3844,0.4966,0.0,1.6273,1.9048,3.6768,85875,3.74
1062,10.27,0.0006884973099620797,3.3489,0.505,0.0,1.6077,1.9049,3.6771,83411,3.98
1125,10.87,0.0006527578915497952,3.3122,0.5001,0.0,1.585,1.8913,3.6508,86698,4.21
1188,11.48,0.0006163200358721371,3.2908,0.5118,0.0,1.5643,1.8789,3.6269,86855,4.44
1250,12.08,0.000580019170194978,3.2605,0.505,0.0,1.5445,1.8727,3.6149,86506,4.67
1312,12.68,0.0005435206890502264,3.2345,0.5108,0.0,1.5332,1.8723,3.6142,86790,4.9
1375,13.29,0.0005064785366653971,3.2061,0.5095,0.0,1.5223,1.8627,3.5956,86168,5.14
1438,13.9,0.0004697321962262785,3.1809,0.5099,0.0,1.5035,1.8609,3.5922,86367,5.37
1500,14.5,0.00043410050660169726,3.1561,0.5222,0.0,1.4904,1.8524,3.5757,85667,5.61
1562,15.1,0.0003992317805245042,3.1199,0.5233,0.0,1.4787,1.8516,3.5741,86403,5.84
1625,15.71,0.000364818538627701,3.0972,0.5236,0.0,1.4678,1.8432,3.558,87075,6.07
1688,16.32,0.0003316639604843873,3.0761,0.5306,0.0,1.4516,1.8428,3.5573,87122,6.31
1750,16.92,0.000300483385220878,3.0799,0.5371,0.0,1.4403,1.8382,3.5482,86283,6.54
1812,17.52,0.000270945371766418,3.0529,0.5372,0.0,1.4351,1.841,3.5537,86936,6.77
1875,18.12,0.00024281365293987495,3.0351,0.5341,0.0,1.4196,1.8358,3.5437,86523,7.0
1938,18.73,0.00021676985542978615,3.011,0.5463,0.0,1.4102,1.8317,3.5358,86567,7.23
2000,19.33,0.00019334989271035417,3.0024,0.541,0.0,1.3991,1.8316,3.5356,86199,7.47
2062,19.93,0.00017227774897662711,2.9895,0.5394,0.0,1.3928,1.8256,3.524,85728,7.7
2125,20.54,0.00015341344657075352,2.9822,0.542,0.0,1.3862,1.8238,3.5204,86838,7.93
2188,21.15,0.0001372447116165219,2.9687,0.5459,0.0,1.3807,1.8245,3.5219,86827,8.17
2250,21.75,0.00012407115021866657,2.9579,0.558,0.0,1.3761,1.8212,3.5155,86149,8.4
2312,22.35,0.00011370146808409143,2.9593,0.5473,0.0,1.3704,1.8198,3.5127,85575,8.63
2375,22.96,0.00010610683427057706,2.9378,0.548,0.0,1.3654,1.8211,3.5153,86276,8.87
2438,23.57,0.00010152930721270076,2.9327,0.554,0.0,1.3623,1.8212,3.5154,86746,9.1
2500,24.17,0.00010000038553136689,2.9413,0.5557,0.0,1.3588,1.821,3.515,87035,9.33
