step,passes,learning_rate,training_loss,gradient_length,share_clipped,seen_bpc,validation_bpc,validation_loss,tokens_per_second,minutes
0,0.0,nan,nan,nan,nan,6.7614,6.7626,4.6874,nan,0.06
250,0.85,0.000999495547480752,2.526,0.8117,0.108,2.9587,2.9509,2.0454,89438,0.9
499,1.7,0.000996404858951786,1.8933,0.5113,0.0,2.376,2.422,1.6788,90589,1.73
749,2.55,0.0009904908123745863,1.64,0.454,0.0,2.1141,2.2136,1.5343,90291,2.57
998,3.4,0.0009818377126940404,1.5038,0.3989,0.0,1.977,2.1134,1.4649,89885,3.4
1248,4.25,0.000970430690923128,1.4255,0.3627,0.0,1.907,2.0635,1.4303,90238,4.24
1498,5.1,0.0009563709434533556,1.3741,0.3387,0.0,1.8387,2.0155,1.397,90605,5.08
1747,5.95,0.0009398186496835648,1.3363,0.318,0.0,1.7913,1.9793,1.3719,89945,5.91
1997,6.8,0.0009207453671075667,1.309,0.3034,0.0,1.7571,1.9551,1.3551,89789,6.76
2247,7.65,0.0008993328505405867,1.2848,0.2951,0.0,1.7231,1.9312,1.3386,90186,7.59
2496,8.5,0.0008758148673582538,1.268,0.2822,0.0,1.7059,1.9261,1.3351,89987,8.43
2746,9.35,0.0008501510056157637,1.2503,0.276,0.0,1.6765,1.8913,1.3109,90548,9.27
2996,10.2,0.0008225933280712271,1.233,0.2737,0.0,1.6512,1.8781,1.3018,89840,10.11
3245,11.05,0.0007934360062282577,1.2201,0.2674,0.0,1.6363,1.868,1.2948,90407,10.94
3495,11.9,0.0007626289378280084,1.2099,0.2654,0.0,1.6171,1.8455,1.2792,90277,11.78
3744,12.75,0.0007306112787292833,1.1963,0.261,0.0,1.604,1.8333,1.2707,90666,12.61
3994,13.6,0.0006973280116347983,1.1857,0.2584,0.0,1.5845,1.8148,1.2579,89886,13.45
4244,14.45,0.0006631151720541386,1.1774,0.2582,0.0,1.5723,1.8173,1.2597,89987,14.29
4493,15.3,0.0006283294644189698,1.1683,0.2538,0.0,1.5569,1.827,1.2664,90165,15.13
4743,16.15,0.0005929111149771788,1.1595,0.2537,0.0,1.5451,1.8127,1.2565,90168,15.96
4992,17.0,0.0005573650135632823,1.1489,0.2548,0.0,1.5294,1.7969,1.2455,90126,16.8
5242,17.85,0.0005216300798083888,1.1435,0.2545,0.0,1.5171,1.7988,1.2468,90064,17.64
5492,18.7,0.0004860741472967243,1.1347,0.2552,0.0,1.505,1.8024,1.2493,90343,18.47
5741,19.55,0.00045106106954339323,1.1261,0.2536,0.0,1.4902,1.7808,1.2343,89529,19.31
5991,20.4,0.0004165306820965957,1.1191,0.2553,0.0,1.4802,1.7824,1.2354,90171,20.15
6241,21.25,0.0003828424251061505,1.1132,0.2559,0.0,1.469,1.7832,1.236,90039,20.99
6490,22.1,0.0003503370140618392,1.1078,0.2589,0.0,1.4589,1.7868,1.2385,90011,21.82
6740,22.95,0.00031895859354158805,1.1017,0.2589,0.0,1.4481,1.7656,1.2238,90076,22.66
6990,23.8,0.0002890379388068634,1.0958,0.2607,0.0,1.4376,1.7687,1.226,90517,23.5
7239,24.65,0.00026087341188844664,1.091,0.2611,0.0,1.4309,1.7725,1.2286,90368,24.33
7489,25.5,0.00023441661648898333,1.0853,0.2632,0.0,1.4241,1.7751,1.2304,89640,25.17
7738,26.35,0.00021004469517049533,1.0784,0.2639,0.0,1.412,1.768,1.2255,88916,26.01
7988,27.2,0.00018771576863017576,1.0736,0.2653,0.0,1.4052,1.7715,1.2279,89075,26.86
8238,28.05,0.00016767269017753102,1.069,0.2659,0.0,1.3966,1.7675,1.2252,88655,27.71
8487,28.9,0.00015010748759020814,1.0659,0.2679,0.0,1.3894,1.7682,1.2256,89111,28.55
8737,29.75,0.0001349899778379728,1.0621,0.2695,0.0,1.3836,1.7663,1.2243,89778,29.39
8986,30.6,0.00012253566156152136,1.0591,0.2717,0.0,1.3783,1.7633,1.2222,88948,30.23
9236,31.45,0.00011272313798264754,1.0552,0.2731,0.0,1.374,1.7668,1.2246,89048,31.08
9486,32.3,0.00010566963175058841,1.0521,0.2735,0.0,1.3677,1.7623,1.2216,89739,31.92
9735,33.15,0.0001014310211264214,1.052,0.2762,0.0,1.3637,1.7575,1.2182,90219,32.76
9985,34.0,0.00010000002272630928,1.05,0.279,0.0,1.3603,1.7621,1.2214,90284,33.59
